Timestamp(ms),Current(uA),D0-D7
300000,10712.315,00000000
300010,11031.306,00000000
300020,11218.281,00000000
300030,11201.127,00000000
300040,10929.616,00000000
300050,10891.083,00000000
300060,10872.345,00000000
300070,11143.078,00000000
300080,10758.693,00000000
300090,10877.097,00000000
300100,11460.610,00000000
300110,11080.199,00000000
300120,10599.278,00000000
300130,11116.667,00000000
300140,10924.311,00000000
300150,10681.712,00000000
300160,10911.371,00000000
300170,11151.503,00000000
300180,10984.267,00000000
300190,10383.275,00000000
300200,10990.621,00000000
300210,10517.843,00000000
300220,10980.137,00000000
300230,11502.455,00000000
300240,11402.639,00000000
300250,11299.271,00000000
300260,10582.606,00000000
300270,10787.293,00000000
300280,11084.503,00000000
300290,10681.273,00000000
300300,10856.559,00000000
300310,11014.014,00000000
300320,11581.884,00000000
300330,11543.053,00000000
300340,10988.265,00000000
300350,10556.987,00000000
300360,10732.967,00000000
300370,11185.296,00000000
300380,11472.063,00000000
300390,11682.737,00000000
300400,11380.249,00000000
300410,10968.722,00000000
300420,10614.231,00000000
300430,10893.854,00000000
300440,10612.641,00000000
300450,10769.030,00000000
300460,11140.178,00000000
300470,10646.952,00000000
300480,10600.053,00000000
300490,10389.437,00000000
300500,10738.170,00000000
300510,10922.883,00000000
300520,10922.423,00000000
300530,11035.053,00000000
300540,10965.289,00000000
300550,10577.142,00000000
300560,11048.047,00000000
300570,11108.163,00000000
300580,11045.317,00000000
300590,11067.975,00000000
300600,10683.408,00000000
300610,10914.079,00000000
300620,11037.903,00000000
300630,10892.927,00000000
300640,10537.140,00000000
300650,10725.676,00000000
300660,10793.188,00000000
300670,11128.818,00000000
300680,10952.243,00000000
300690,10490.737,00000000
300700,10620.325,00000000
300710,10497.822,00000000
300720,10758.875,00000000
300730,11001.384,00000000
300740,10832.484,00000000
300750,10568.045,00000000
300760,10291.435,00000000
300770,10937.072,00000000
300780,10636.691,00000000
300790,11012.965,00000000
300800,10882.900,00000000
300810,11204.625,00000000
300820,11244.405,00000000
300830,11145.932,00000000
300840,11239.139,00000000
300850,11099.566,00000000
300860,11282.595,00000000
300870,11023.173,00000000
300880,10800.914,00000000
300890,10563.293,00000000
300900,10813.915,00000000
300910,11292.061,00000000
300920,10849.575,00000000
300930,10618.739,00000000
300940,10788.147,00000000
300950,10814.400,00000000
300960,11012.114,00000000
