Timestamp(ms),Current(uA),D0-D7
267520,11490.039,00000000
267530,11393.663,00000000
267540,11739.919,00000000
267550,11922.963,00000000
267560,11656.890,00000000
267570,11349.760,00000000
267580,11058.538,00000000
267590,10917.847,00000000
267600,11046.834,00000000
267610,10858.220,00000000
267620,11263.012,00000000
267630,11766.236,00000000
267640,11440.089,00000000
267650,10976.136,00000000
267660,10958.001,00000000
267670,11035.226,00000000
267680,11038.609,00000000
267690,10885.252,00000000
267700,11329.026,00000000
267710,10979.527,00000000
267720,10921.232,00000000
267730,10947.840,00000000
267740,10976.128,00000000
267750,11692.950,00000000
267760,11591.205,00000000
267770,11833.188,00000000
267780,11539.752,00000000
267790,11164.608,00000000
267800,11484.911,00000000
267810,11142.864,00000000
267820,11288.157,00000000
267830,11006.933,00000000
267840,11508.799,00000000
267850,11671.844,00000000
267860,11357.230,00000000
267870,11131.171,00000000
267880,11346.020,00000000
267890,11375.263,00000000
267900,11786.197,00000000
267910,11331.382,00000000
267920,11180.468,00000000
267930,11333.625,00000000
267940,11271.422,00000000
267950,11169.170,00000000
267960,11311.480,00000000
267970,11348.949,00000000
267980,11371.254,00000000
267990,10874.187,00000000
268000,10896.368,00000000
268010,10849.341,00000000
268020,11373.481,00000000
268030,11234.236,00000000
268040,10933.525,00000000
268050,11299.164,00000000
268060,10784.048,00000000
268070,11097.575,00000000
268080,10945.740,00000000
268090,11145.506,00000000
268100,11767.419,00000000
268110,11031.200,00000000
268120,11023.853,00000000
268130,11390.491,00000000
268140,11284.251,00000000
268150,11306.251,00000000
268160,11097.608,00000000
268170,11600.952,00000000
268180,11579.987,00000000
268190,10958.018,00000000
268200,11290.517,00000000
268210,11435.396,00000000
268220,11108.836,00000000
268230,10815.276,00000000
268240,11469.146,00000000
268250,11832.090,00000000
268260,11497.401,00000000
268270,11696.326,00000000
268280,10718.337,00000000
268290,11083.586,00000000
268300,11587.336,00000000
268310,11585.915,00000000
268320,11090.565,00000000
268330,11541.817,00000000
268340,11323.080,00000000
268350,11247.514,00000000
268360,10800.154,00000000
268370,10855.398,00000000
268380,10978.452,00000000
268390,11180.828,00000000
268400,11439.354,00000000
268410,11274.947,00000000
268420,10925.494,00000000
268430,11160.160,00000000
268440,11148.317,00000000
268450,11712.711,00000000
268460,10969.412,00000000
268470,11030.943,00000000
268480,10610.952,00000000
268490,10960.913,00000000
268500,11146.574,00000000
268510,11061.417,00000000
268520,11530.173,00000000
268530,10964.140,00000000
268540,11210.619,00000000
268550,11308.278,00000000
268560,11173.519,00000000
268570,11165.323,00000000
268580,11760.972,00000000
268590,11095.618,00000000
268600,11452.568,00000000
268610,11269.357,00000000
268620,10943.890,00000000
268630,11241.573,00000000
268640,11017.731,00000000
268650,11715.540,00000000
268660,11162.769,00000000
268670,11575.704,00000000
268680,11352.254,00000000
268690,10884.207,00000000
268700,11348.612,00000000
268710,11088.569,00000000
268720,10939.771,00000000
268730,11155.688,00000000
268740,11314.102,00000000
268750,11450.075,00000000
268760,11145.110,00000000
268770,11581.880,00000000
268780,10776.767,00000000
268790,11095.807,00000000
268800,11365.028,00000000
268810,11595.076,00000000
268820,11127.760,00000000
268830,11219.319,00000000
268840,11985.823,00000000
268850,11478.401,00000000
268860,11117.968,00000000
268870,11353.294,00000000
268880,11823.825,00000000
268890,11903.907,00000000
268900,11548.905,00000000
268910,10990.799,00000000
268920,10904.387,00000000
268930,11004.416,00000000
268940,11168.262,00000000
268950,11494.307,00000000
268960,11378.100,00000000
268970,11380.962,00000000
268980,11380.634,00000000
268990,11519.351,00000000
269000,11442.656,00000000
269010,10948.537,00000000
269020,11297.121,00000000
269030,11104.789,00000000
269040,11298.070,00000000
269050,10846.440,00000000
269060,10741.500,00000000
269070,11217.856,00000000
269080,11326.046,00000000
269090,12150.302,00000000
269100,11978.975,00000000
269110,11097.104,00000000
269120,10879.657,00000000
269130,10733.474,00000000
269140,11233.120,00000000
269150,11647.831,00000000
269160,11142.756,00000000
269170,10969.206,00000000
269180,11129.700,00000000
269190,11364.737,00000000
269200,11283.820,00000000
269210,11119.458,00000000
269220,11441.892,00000000
269230,11335.209,00000000
269240,11350.359,00000000
269250,10819.480,00000000
269260,11230.514,00000000
269270,10417.594,00000000
269280,10825.436,00000000
269290,10857.980,00000000
269300,11388.857,00000000
269310,11299.308,00000000
269320,11222.973,00000000
269330,11158.711,00000000
269340,10791.809,00000000
269350,11517.720,00000000
269360,11301.657,00000000
269370,11490.307,00000000
269380,11044.146,00000000
269390,16353.897,00000000
269400,21878.182,00000000
269410,23741.262,00000000
269420,24141.504,00000000
269430,24779.381,00000000
269440,25062.029,00000000
269450,24948.527,00000000
269460,24076.975,00000000
269470,17198.949,00000000
269480,14070.455,00000000
269490,13561.552,00000000
269500,13067.539,00000000
269510,12943.644,00000000
269520,12703.218,00000000
269530,12418.986,00000000
269540,12577.436,00000000
269550,12592.369,00000000
269560,12632.488,00000000
269570,12838.091,00000000
269580,13302.530,00000000
269590,13111.007,00000000
269600,12527.771,00000000
269610,12490.526,00000000
269620,12649.044,00000000
269630,12707.358,00000000
269640,12802.981,00000000
269650,13027.371,00000000
269660,12642.892,00000000
269670,12612.716,00000000
269680,12751.411,00000000
269690,12779.279,00000000
269700,12948.789,00000000
269710,13116.856,00000000
269720,13116.493,00000000
269730,13050.138,00000000
269740,12700.554,00000000
269750,12532.194,00000000
269760,12264.935,00000000
269770,12907.810,00000000
269780,12952.200,00000000
269790,12429.331,00000000
269800,12421.148,00000000
269810,12311.770,00000000
269820,12855.115,00000000
269830,12596.116,00000000
269840,12185.276,00000000
