Timestamp(ms),Current(uA),D0-D7
840000,11345.800,00000000
840010,11247.773,00000000
840020,10934.402,00000000
840030,10745.405,00000000
840040,10837.369,00000000
840050,10783.012,00000000
840060,11149.872,00000000
840070,11236.981,00000000
840080,11420.985,00000000
840090,11513.312,00000000
840100,11295.237,00000000
840110,10795.784,00000000
840120,10900.319,00000000
840130,11033.172,00000000
840140,11738.146,00000000
840150,11406.228,00000000
840160,10937.977,00000000
840170,10998.935,00000000
840180,10725.364,00000000
840190,11211.343,00000000
840200,10643.353,00000000
840210,10989.021,00000000
840220,10859.631,00000000
840230,10671.944,00000000
840240,10920.315,00000000
840250,10878.808,00000000
840260,10766.609,00000000
840270,10935.851,00000000
840280,11393.378,00000000
840290,10831.554,00000000
840300,10995.782,00000000
840310,10893.326,00000000
840320,10802.878,00000000
840330,10872.556,00000000
840340,10850.167,00000000
840350,11399.196,00000000
840360,11008.965,00000000
840370,10549.450,00000000
840380,10584.148,00000000
840390,10732.208,00000000
840400,10578.897,00000000
840410,11108.851,00000000
840420,11499.292,00000000
840430,11167.243,00000000
840440,11227.612,00000000
840450,11016.801,00000000
840460,10894.509,00000000
840470,10573.687,00000000
840480,11724.114,00000000
840490,10934.076,00000000
840500,10708.313,00000000
840510,10819.014,00000000
840520,10780.103,00000000
840530,11237.907,00000000
840540,10932.257,00000000
840550,11374.185,00000000
840560,11530.336,00000000
840570,11064.875,00000000
840580,11234.170,00000000
840590,11374.301,00000000
840600,11257.846,00000000
840610,11207.760,00000000
840620,11115.917,00000000
840630,11120.405,00000000
840640,10700.122,00000000
840650,10476.316,00000000
840660,10491.137,00000000
840670,10764.278,00000000
840680,10851.682,00000000
840690,11068.604,00000000
840700,10967.400,00000000
840710,10689.061,00000000
840720,11045.691,00000000
840730,10601.657,00000000
840740,10414.176,00000000
840750,10366.992,00000000
840760,11136.323,00000000
840770,11197.828,00000000
840780,10600.521,00000000
840790,10583.423,00000000
840800,10972.878,00000000
840810,11201.970,00000000
840820,11053.162,00000000
840830,10854.119,00000000
840840,10844.998,00000000
840850,11149.815,00000000
840860,11029.789,00000000
840870,11184.906,00000000
840880,11143.520,00000000
840890,11083.797,00000000
840900,10950.397,00000000
840910,11022.914,00000000
840920,11459.112,00000000
